	A427	A549	Detroit562	FaDu	H1299	H1395	H1703	H2126	H2170	H2228	H358	H441	H520	H522	H596	HCC827	KYSE30	OE21	PC9	SCC15	SCC25	SKMES1	SW900
C3orf30|152405	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
C3orf31|132001	432	301	195	284	261	219	264	155	309	340	346	186	526	348	183	363	332	220	238	67	120	267	249
C3orf32|51066	3	10	3	3	5	12	4	7	7	5	6	0	3	3	2	4	5	7	8	2	0	7	15
C3orf33|285315	813	269	159	129	593	180	285	448	270	267	543	327	198	527	103	299	25	409	159	90	153	272	115
C3orf34|84984	413	247	206	40	320	23	165	142	76	286	74	268	261	753	393	320	296	108	195	236	194	1032	99
C3orf35|339883	11	12	2	5	18	12	8	10	15	7	32	6	3	15	1	11	5	3	10	1	4	6	14
C3orf36|80111	0	0	5	0	5	0	0	0	0	0	5	0	5	0	0	16	0	0	0	1	1	2	22
C3orf37|56941	6198	1447	1688	2414	2594	1759	1041	2061	1538	2879	3184	1353	3390	2928	2838	2177	2069	1616	1829	749	1855	2664	1804
C3orf38|285237	1303.76	1179.8	730.69	276.76	1102.79	504.99	766.84	1092.89	1069.64	1255.7	1793.8	1170.77	929.71	1476.52	928.74	1659.89	1807.59	733.75	731.67	731.92	921.56	2388.46	961.82
C3orf39|84892	3018	753	349	388	1890	1384	719	1227	760	1275	954	998	1316	2334	759	1134	1092	356	1722	153	793	2699	625
C3orf42|84657	73	32	10	13	63	11	16	18	18	42	27	26	23	68	12	83	19	9	48	1	11	12	5
C3orf43|255798	0	0	0	0	3	0	0	1	1	2	4	0	0	1	0	0	1	2	1	0	2	2	0
C3orf45|132228	2.23	5.5	1.11	1.09	6.77	3.32	0	7.79	2.2	5.63	6.79	2.25	10.13	7.87	1.09	7.93	3.3	0	3.38	1.1	1.11	3.27	2.24
C3orf47|339942	205	38	25	7	300	81	40	3	10	196	106	27	63	29	22	58	2	8	78	47	6	49	58
C3orf48|151649	1	3	0	0	5	1	2	2	1	1	3	4	0	2	0	4	0	2	2	0	1	2	1
C3orf49|132200	1	3	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	3	0	1	1	0
C3orf50|93556	0	0	5	0	8	0	1	0	1	9	21	11	1	0	0	0	0	0	3	0	0	0	3
C3orf51|711	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	2	0	0	0	0	0	0	0
C3orf52|79669	873	451	675	246	1626	170	363	411	925	670	1533	2148	401	8	364	1647	618	508	880	437	1590	2682	1686
C3orf54|389119	28	9	185	65	3	10	5	0	3	6	59	1	2	86	342	13	82	251	16	8	233	59	5
C3orf55|152078	0	19	0	9	138	4	27	3	43	87	137	42	49	24	15	64	0	14	37	104	22	242	52
C3orf57|165679	0	1	430	56	11	760	11	977	2583	31	2270	74	4	13	315	5	0	1	43	0	1	12	128
C3orf58|205428	4408	1363	1703	939	2925	596	1142	659	1615	1334	1499	1962	1904	400	2105	1751	770	2985	2408	540	2391	3548	943
C3orf59|151963	224	417	501	203	571	271	322	592	107	534	364	166	384	213	430	2950	2229	597	338	1676	1423	3014	431
C3orf62|375341	935	162	213	93	339	397	87	263	177	263	362	100	120	399	108	212	113	128	196	29	164	286	95
C3orf63|23272	11648.62	5856.64	3357.83	2471.9	4679.24	3168.45	3992.21	4075.88	5124.46	4985.64	14742.54	3276.06	3961.41	8797	5629.86	6682.46	4735.54	2414.61	4239.21	2137.77	3542.17	12253.74	3365.45
